"user_id","product","amount","price","expenses","profit","date","year_month","country","device","source"
c25dd1687c809b52ffa029d87074298b,food,4,200,100,400,2020-01-01,2020-01-01 00:00:00.000 +0400,DE,mobile,organic
b3ac165dd5bfd223463eea1ff4dd2014,food,8,200,100,800,2020-01-01,2020-01-01 00:00:00.000 +0400,ZW,mobile,direct
a802be1ea31fdcadf59b2985dda2ab18,food,7,200,100,700,2020-01-03,2020-01-01 00:00:00.000 +0400,CA,mobile,email
b7905f6e5b9457d5f207b146fb8769fc,food,7,200,100,700,2020-01-03,2020-01-01 00:00:00.000 +0400,CA,mobile,email
"4318c41b9981e298a87a9f906cb1702d",food,8,200,100,800,2020-01-03,2020-01-01 00:00:00.000 +0400,DE,tablet,email
"17547149dc1af2050ebab74efc9003f4",electronics,5,400,200,1000,2020-01-03,2020-01-01 00:00:00.000 +0400,US,mobile,email
"0c69f56eefd226cbb10df27ab937cd50",electronics,3,400,200,600,2020-01-03,2020-01-01 00:00:00.000 +0400,US,mobile,email
"541d4552c0a4afd367d7083150b1cf10",food,8,200,100,800,2020-01-04,2020-01-01 00:00:00.000 +0400,CA,mobile,email
"54fca24771e28a92e3d09196753bbe93",food,4,200,100,400,2020-01-04,2020-01-01 00:00:00.000 +0400,DE,desktop,email
bd09cfab7d3b0bfc5a3f355a9b571a5a,food,6,200,100,600,2020-01-04,2020-01-01 00:00:00.000 +0400,DE,mobile,email
eeee2bef9cc6e1a92512da385bbdf18a,food,5,200,100,500,2020-01-04,2020-01-01 00:00:00.000 +0400,US,mobile,direct
cfbcf37d5d6b5913b7cc4919e796bd86,electronics,7,400,200,1400,2020-01-05,2020-01-01 00:00:00.000 +0400,CA,mobile,direct
a443a63f02822cd16e80e23e8a4b23dd,food,5,200,100,500,2020-01-05,2020-01-01 00:00:00.000 +0400,CA,desktop,direct
"4088d85d4872749b4f3881e67f123ead",food,7,200,100,700,2020-01-05,2020-01-01 00:00:00.000 +0400,DE,mobile,direct
"4fb83f46735007de208a8c249299f2a7",food,5,200,100,500,2020-01-05,2020-01-01 00:00:00.000 +0400,US,mobile,direct
ce3211180e6a72ecf7a80eb5632f7557,food,1,200,100,100,2020-01-05,2020-01-01 00:00:00.000 +0400,US,mobile,email
"5e8c79789369e2fd960db50f54408e02",food,4,200,100,400,2020-01-05,2020-01-01 00:00:00.000 +0400,US,mobile,organic
"282b457235550ead1a67607aa32136d4",electronics,5,400,200,1000,2020-01-06,2020-01-01 00:00:00.000 +0400,US,mobile,organic
afb30bb5556baad1471c576176fe4fc5,food,7,200,100,700,2020-01-06,2020-01-01 00:00:00.000 +0400,US,desktop,direct
c305ee3f7353ce573f83b9c462a51471,food,8,200,100,800,2020-01-06,2020-01-01 00:00:00.000 +0400,US,desktop,email
"6a9755404adb480bf13cf908fe270fe6",food,7,200,100,700,2020-01-06,2020-01-01 00:00:00.000 +0400,US,mobile,email
ecbc969815faf3ac02b4d72beb51a952,food,5,200,100,500,2020-01-07,2020-01-01 00:00:00.000 +0400,CA,desktop,organic
"05be4dd7f7930e93186bcb12c816fd28",food,5,200,100,500,2020-01-07,2020-01-01 00:00:00.000 +0400,CA,tablet,email
"5d7dbc79381fdbcf85cd8502638df9e4",food,5,200,100,500,2020-01-07,2020-01-01 00:00:00.000 +0400,DE,mobile,organic
fb4adf11d3cf767f4f2149f88273edf1,electronics,7,400,200,1400,2020-01-07,2020-01-01 00:00:00.000 +0400,US,mobile,email
b512d60c14855723c05aa2bb2e878194,electronics,2,400,200,400,2020-01-07,2020-01-01 00:00:00.000 +0400,US,mobile,email
"6ac37307f19eb071916391dc69e3ce2d",food,4,200,100,400,2020-01-07,2020-01-01 00:00:00.000 +0400,US,desktop,direct
d8b3e8e71179af0e8ae782b44ce2a290,food,1,200,100,100,2020-01-07,2020-01-01 00:00:00.000 +0400,US,mobile,email
fc98ddba91dd55e9b5b0d95e5628273e,food,1,200,100,100,2020-01-07,2020-01-01 00:00:00.000 +0400,US,tablet,organic
"183cfd184de22ca0e69fc0fd7ceed169",electronics,3,400,200,600,2020-01-08,2020-01-01 00:00:00.000 +0400,CA,mobile,direct
dcb549100c240af5a9ac71234b1c9e43,food,1,200,100,100,2020-01-08,2020-01-01 00:00:00.000 +0400,CA,mobile,email
"65e6256fae2401d1670e09d89432d1e2",food,1,200,100,100,2020-01-08,2020-01-01 00:00:00.000 +0400,US,mobile,direct
"299de5f6934b4b4f394df4228e618c88",food,4,200,100,400,2020-01-08,2020-01-01 00:00:00.000 +0400,US,mobile,direct
"409263023b2a27fbbf2699084d884c03",food,8,200,100,800,2020-01-08,2020-01-01 00:00:00.000 +0400,US,tablet,direct
ac30c329bdd074eab30b1dfb71684c1e,food,5,200,100,500,2020-01-08,2020-01-01 00:00:00.000 +0400,US,tablet,email
"21f59a7dd5e0d510fb9be87675539a7a",food,5,200,100,500,2020-01-08,2020-01-01 00:00:00.000 +0400,ZW,desktop,organic
c2727b170ed8a438216f06fd581a2403,electronics,2,400,200,400,2020-01-09,2020-01-01 00:00:00.000 +0400,CA,mobile,email
b3a88b327ebf2b8848d937a8df4f5c7c,electronics,7,400,200,1400,2020-01-09,2020-01-01 00:00:00.000 +0400,CA,mobile,email
e4a9243ec67daea78577ba9f852bd3e6,food,1,200,100,100,2020-01-09,2020-01-01 00:00:00.000 +0400,CA,mobile,direct
"3d5645e7ed2cfbc1cade48be89d828ff",electronics,7,400,200,1400,2020-01-09,2020-01-01 00:00:00.000 +0400,DE,desktop,email
"96f7e9e59ab110eef01413e625f8d857",electronics,5,400,200,1000,2020-01-09,2020-01-01 00:00:00.000 +0400,DE,mobile,email
"68125794cdcc74a202b4f908c7a5f7c6",electronics,1,400,200,200,2020-01-09,2020-01-01 00:00:00.000 +0400,DE,mobile,organic
af18a9b7107a516970f476576c93f8b8,service,1,300,150,150,2020-01-09,2020-01-01 00:00:00.000 +0400,US,desktop,email
"9b7724c8bde6f62669818dbeda403428",service,1,300,150,150,2020-01-09,2020-01-01 00:00:00.000 +0400,US,mobile,email
ab0377be3994454b2ea7914b62c077a7,food,8,200,100,800,2020-01-10,2020-01-01 00:00:00.000 +0400,CA,mobile,email
"1b47d33c4130b90b30452238f57ad978",electronics,5,400,200,1000,2020-01-10,2020-01-01 00:00:00.000 +0400,DE,tablet,direct
e127abbb96d60393477a479ea9d825ab,food,7,200,100,700,2020-01-10,2020-01-01 00:00:00.000 +0400,DE,mobile,email
"9e1925d004d44a588ef1a836a0dc7502",food,5,200,100,500,2020-01-10,2020-01-01 00:00:00.000 +0400,DE,mobile,organic
"65fc59d0d5c87194bd5e820543e25e3d",food,6,200,100,600,2020-01-10,2020-01-01 00:00:00.000 +0400,US,desktop,direct
